row,struct_pct,R02,R12,R01,ans_match_pct,R02_rouge1,R02_rouge2,len_tok_r2,n_pair_rouge
No-trigger,96.0,0.169,0.141,0.397,38.6,0.247,0.137,320,481
OpenThoughts,78.2,0.322,0.618,0.337,33.8,0.573,0.364,1115,401
MATH500,89.6,0.276,0.46,0.346,34.2,0.464,0.288,927,448
GSM8K,94.0,0.26,0.454,0.343,35.6,0.431,0.272,617,470
JEEBench,88.6,0.298,0.55,0.343,34.6,0.504,0.322,919,443
